country,latitude,longitude,value,type
Bangladesh,20.8583,92.2977,1,incidents
Bangladesh,21.245,92.1375,1,incidents
Bangladesh,21.4397,92.0095,3,incidents
Bangladesh,21.5106,91.9638,1,incidents
Bangladesh,21.7866,92.0783,1,incidents
Bangladesh,21.8233,90.1212,2,incidents
Bangladesh,21.9048,92.0664,1,incidents
Bangladesh,21.9845,90.2296,3,incidents
Bangladesh,21.9997,92.102,1,incidents
Bangladesh,22.045,89.9683,2,incidents
Bangladesh,22.1333,90.1333,2,incidents
Bangladesh,22.1356,90.2274,1,incidents
Bangladesh,22.1624,92.0679,1,incidents
Bangladesh,22.1686,90.4143,4,incidents
Bangladesh,22.1953,92.2195,1,incidents
Bangladesh,22.2119,92.0641,1,incidents
Bangladesh,22.2866,89.9666,1,incidents
Bangladesh,22.31,89.7911,1,incidents
Bangladesh,22.3211,91.8575,1,incidents
Bangladesh,22.3408,89.1176,1,incidents
Bangladesh,22.3571,91.7823,19,incidents
Bangladesh,22.3683,90.3458,8,incidents
Bangladesh,22.4159,90.5594,5,incidents
Bangladesh,22.4206,90.8517,1,incidents
Bangladesh,22.4382,89.8508,2,incidents
Bangladesh,22.4668,89.9666,1,incidents
Bangladesh,22.4722,89.611,1,incidents
Bangladesh,22.4755,92.0813,3,incidents
Bangladesh,22.4822,91.8142,4,incidents
Bangladesh,22.489,90.0627,1,incidents
Bangladesh,22.55,90.13,1,incidents
Bangladesh,22.5555,88.9624,2,incidents
Bangladesh,22.5796,89.9752,1,incidents
Bangladesh,22.5831,89.3285,1,incidents
Bangladesh,22.6033,91.6594,1,incidents
Bangladesh,22.6151,90.3676,1,incidents
Bangladesh,22.62,91.6578,2,incidents
Bangladesh,22.6256,90.06,1,incidents
Bangladesh,22.6409,90.1985,1,incidents
Bangladesh,22.6432,92.1919,1,incidents
Bangladesh,22.6493,91.0615,2,incidents
Bangladesh,22.6566,89.7912,1,incidents
Bangladesh,22.6876,90.644,4,incidents
Bangladesh,22.705,90.3701,16,incidents
Bangladesh,22.7082,89.0719,9,incidents
Bangladesh,22.7371,89.9589,1,incidents
Bangladesh,22.7785,91.57,1,incidents
Bangladesh,22.7889,90.0581,1,incidents
Bangladesh,22.8097,89.5643,8,incidents
Bangladesh,22.8333,89.5833,1,incidents
Bangladesh,22.8667,91.1,6,incidents
Bangladesh,22.8724,91.0919,1,incidents
Bangladesh,22.873,91.2782,2,incidents
Bangladesh,22.9042,91.1039,1,incidents
Bangladesh,22.9073,89.2195,1,incidents
Bangladesh,22.9443,90.8301,1,incidents
Bangladesh,22.9469,91.0754,1,incidents
Bangladesh,22.9511,89.8224,1,incidents
Bangladesh,22.97,90.11,1,incidents
Bangladesh,22.9728,90.2171,3,incidents
Bangladesh,22.9729,91.4735,1,incidents
Bangladesh,22.975,89.4583,1,incidents
Bangladesh,22.991,91.2334,1,incidents
Bangladesh,23.0144,91.3966,6,incidents
Bangladesh,23.0403,88.8862,1,incidents
Bangladesh,23.043,89.6309,1,incidents
Bangladesh,23.052,88.9555,1,incidents
Bangladesh,23.0635,90.9716,2,incidents
Bangladesh,23.1079,91.9701,1,incidents
Bangladesh,23.1113,89.0906,1,incidents
Bangladesh,23.1333,90.4333,1,incidents
Bangladesh,23.1551,89.4952,1,incidents
Bangladesh,23.1666,89.9166,1,incidents
Bangladesh,23.1697,89.2137,6,incidents
Bangladesh,23.171,90.2094,1,incidents
Bangladesh,23.1998,89.6644,3,incidents
Bangladesh,23.21,90.35,8,incidents
Bangladesh,23.224,89.1634,1,incidents
Bangladesh,23.2271,90.6543,1,incidents
Bangladesh,23.2273,92.0339,1,incidents
Bangladesh,23.26,90.83,1,incidents
Bangladesh,23.2853,88.8194,1,incidents
Bangladesh,23.289,89.706,1,incidents
Bangladesh,23.3475,90.2993,1,incidents
Bangladesh,23.3684,89.99,2,incidents
Bangladesh,23.3777,91.0547,1,incidents
Bangladesh,23.4096,89.138,1,incidents
Bangladesh,23.44,90.95,2,incidents
Bangladesh,23.4488,90.6348,1,incidents
Bangladesh,23.4619,91.185,9,incidents
Bangladesh,23.487,89.4159,4,incidents
Bangladesh,23.4874,90.9915,1,incidents
Bangladesh,23.5354,90.7125,1,incidents
Bangladesh,23.5417,90.5934,1,incidents
Bangladesh,23.5424,90.7897,1,incidents
Bangladesh,23.5425,89.1749,2,incidents
Bangladesh,23.5517,90.5345,4,incidents
Bangladesh,23.5534,91.129,1,incidents
Bangladesh,23.5926,90.895,1,incidents
Bangladesh,23.6061,89.8406,3,incidents
Bangladesh,23.6135,90.503,7,incidents
Bangladesh,23.6173,90.5283,1,incidents
Bangladesh,23.6266,90.4994,1,incidents
Bangladesh,23.6419,90.6024,1,incidents
Bangladesh,23.643,88.8529,2,incidents
Bangladesh,23.6678,90.1083,1,incidents
Bangladesh,23.684,89.2422,1,incidents
Bangladesh,23.6912,90.5149,2,incidents
Bangladesh,23.694,90.3025,2,incidents
Bangladesh,23.7052,90.4232,1,incidents
Bangladesh,23.7106,90.4088,1,incidents
Bangladesh,23.7181,90.4031,1,incidents
Bangladesh,23.7191,90.3771,1,incidents
Bangladesh,23.7196,90.4432,3,incidents
Bangladesh,23.7244,90.4809,1,incidents
Bangladesh,23.7317,90.3959,41,incidents
Bangladesh,23.7333,90.4125,53,incidents
Bangladesh,23.7362,90.3835,4,incidents
Bangladesh,23.7363,90.4232,3,incidents
Bangladesh,23.7435,90.3737,5,incidents
Bangladesh,23.7454,90.4023,4,incidents
Bangladesh,23.7481,91.1328,2,incidents
Bangladesh,23.7597,89.646,7,incidents
Bangladesh,23.7601,90.4193,1,incidents
Bangladesh,23.7602,90.3509,1,incidents
Bangladesh,23.7626,90.3913,11,incidents
Bangladesh,23.7656,90.3879,19,incidents
